vhel	wav	cont	flux
-387.71408217269357	6525.35	5093.4091796875	4865.667009778693
-348.7132573388199	6526.199999999999	5093.4091796875	4921.524446731858
-309.71243250486276	6527.049999999999	5093.4091796875	4915.432835820896
-270.71160767090566	6527.9	5093.4091796875	4967.660833762224
-231.71078283694854	6528.75	5093.4091796875	4956.539372104992
-192.70995800303317	6529.599999999999	5093.4091796875	4912.26145136387
-153.70913316907604	6530.45	5093.4091796875	4900.043746783324
-114.70830833516065	6531.299999999999	5093.4091796875	4947.995882655687
-75.70748350124525	6532.149999999999	5093.4091796875	5018.316520844056
-36.70665866728813	6532.999999999999	5093.4091796875	5105.564590838909
2.2941661666689934	6533.849999999999	5093.4091796875	5140.165208440556
41.29499100062612	6534.7	5093.4091796875	5090.670097786928
80.29581583458324	6535.55	5093.4091796875	4995.44158517756
119.2966406684569	6536.399999999999	5093.4091796875	4971.1827071538855
158.297465502414	6537.249999999999	5093.4091796875	4986.99433865157
197.29829033637114	6538.099999999999	5093.4091796875	4989.5815748842
236.29911517032826	6538.95	5093.4091796875	4976.285640761709
275.29994000424364	6539.799999999999	5093.4091796875	5053.917138445702
314.3007648382008	6540.65	5093.4091796875	5073.958826556871
353.3015896721579	6541.5	5093.4091796875	5127.433350488935
392.30241450607326	6542.349999999999	5093.4091796875	5194.506948018528
